time_s,current_a,voltage_mv,true_soc_pct
0.0,0.5,3001.81,0.0
0.1,1.0,3004.24,0.0001
0.2,1.5,3007.14,0.0001
0.3,2.0,3013.84,0.0002
0.4,2.5,3012.36,0.0003
0.5,3.0,3008.21,0.0005
0.6,3.5,3020.09,0.0006
0.7,4.0,3019.85,0.0008
0.8,4.5,3022.9,0.001
0.9,5.0,3027.39,0.0013
1.0,5.5,3030.82,0.0015
1.1,6.0,3038.37,0.0018
1.2,6.5,3038.75,0.0021
1.3,7.0,3038.96,0.0024
1.4,7.5,3037.7,0.0028
1.5,8.0,3039.32,0.0031
1.6,8.5,3048.66,0.0035
1.7,9.0,3057.05,0.004
1.8,9.5,3053.8,0.0044
1.9,10.0,3056.18,0.0049
2.0,10.5,3062.53,0.0053
2.1,11.0,3055.78,0.0059
2.2,11.5,3064.69,0.0064
2.3,12.0,3071.94,0.0069
2.4,12.5,3077.12,0.0075
2.5,13.0,3074.84,0.0081
2.6,13.5,3081.25,0.0087
2.7,14.0,3083.95,0.0094
2.8,14.5,3089.99,0.0101
2.9,15.0,3083.92,0.0108
3.0,15.5,3095.75,0.0115
3.1,16.0,3088.78,0.0122
3.2,16.5,3086.73,0.013
3.3,17.0,3100.3,0.0138
3.4,17.5,3102.29,0.0146
3.5,18.0,3114.8,0.0154
3.6,18.5,3117.32,0.0163
3.7,19.0,3111.5,0.0171
3.8,19.5,3125.46,0.018
3.9,20.0,3119.87,0.019
4.0,20.5,3128.13,0.0199
4.1,21.0,3130.79,0.0209
4.2,21.5,3136.55,0.0219
4.3,22.0,3143.82,0.0229
4.4,22.5,3146.69,0.0239
4.5,23.0,3149.05,0.025
4.6,23.5,3154.36,0.0261
4.7,24.0,3157.35,0.0272
4.8,24.5,3155.68,0.0283
4.9,25.0,3159.12,0.0295
5.0,25.5,3164.26,0.0307
5.1,26.0,3173.04,0.0319
5.2,26.5,3173.25,0.0331
5.3,27.0,3190.15,0.0343
5.4,27.5,3178.37,0.0356
5.5,28.0,3180.99,0.0369
5.6,28.5,3194.37,0.0382
5.7,29.0,3201.69,0.0396
5.8,29.5,3201.19,0.0409
5.9,30.0,3206.95,0.0423
6.0,30.0,3211.49,0.0437
6.1,30.0,3205.46,0.0451
6.2,30.0,3200.38,0.0465
6.3,30.0,3206.38,0.0479
6.4,30.0,3215.35,0.0493
6.5,30.0,3204.89,0.0506
6.6,30.0,3213.79,0.052
6.7,30.0,3216.38,0.0534
6.8,30.0,3215.03,0.0548
6.9,30.0,3221.7,0.0562
7.0,30.0,3222.45,0.0576
7.1,30.0,3232.61,0.059
7.2,30.0,3225.54,0.0604
7.3,30.0,3220.82,0.0617
7.4,30.0,3222.47,0.0631
7.5,30.0,3222.53,0.0645
