time_s,current_a,voltage_mv,true_soc_pct
0.0,-12.0,4018.48,89.9994
0.1,-14.0,4004.71,89.9988
0.2,-16.0,3998.79,89.9981
0.3,-18.0,3983.53,89.9972
0.4,-20.0,3972.18,89.9963
0.5,-22.0,3968.75,89.9953
0.6,-24.0,3951.61,89.9942
0.7,-22.0,3965.16,89.9931
0.8,-21.16,3954.97,89.9922
0.9,-23.16,3955.39,89.9911
1.0,-21.16,3962.04,89.9901
1.1,-23.16,3956.19,89.989
1.2,-24.95,3933.51,89.9879
1.3,-26.95,3926.3,89.9866
1.4,-24.95,3928.98,89.9855
1.5,-22.95,3945.93,89.9844
1.6,-20.95,3960.16,89.9835
1.7,-21.72,3951.12,89.9824
1.8,-20.72,3943.89,89.9815
1.9,-21.34,3940.79,89.9805
2.0,-23.34,3933.89,89.9794
2.1,-25.34,3928.25,89.9782
2.2,-26.51,3923.93,89.977
2.3,-25.83,3924.04,89.9758
2.4,-24.53,3916.9,89.9747
2.5,-26.53,3915.72,89.9735
2.6,-24.53,3922.19,89.9723
2.7,-22.53,3925.64,89.9713
2.8,-20.53,3932.04,89.9703
2.9,-22.53,3918.79,89.9693
3.0,-20.53,3941.76,89.9683
3.1,-19.73,3944.23,89.9674
3.2,-18.36,3944.47,89.9666
3.3,-20.36,3938.27,89.9656
3.4,-22.36,3931.6,89.9646
3.5,-20.36,3941.98,89.9637
3.6,-22.36,3920.89,89.9626
3.7,-24.07,3916.24,89.9615
3.8,-23.12,3921.24,89.9604
3.9,-25.12,3901.57,89.9593
4.0,-26.06,3900.42,89.9581
4.1,-24.06,3914.94,89.957
4.2,-26.06,3894.03,89.9557
4.3,-24.06,3905.9,89.9546
4.4,-26.06,3898.36,89.9534
4.5,-24.06,3898.76,89.9523
4.6,-23.67,3901.68,89.9512
4.7,-24.28,3895.06,89.9501
4.8,-22.28,3911.81,89.9491
4.9,-20.28,3907.29,89.9481
5.0,-19.19,3913.56,89.9472
5.1,-21.19,3905.38,89.9463
5.2,-20.39,3921.39,89.9453
5.3,-22.39,3903.47,89.9443
5.4,-20.39,3910.82,89.9433
5.5,-22.39,3906.0,89.9423
5.6,-24.39,3895.02,89.9412
5.7,-22.39,3897.58,89.9401
5.8,-20.42,3910.27,89.9392
5.9,-22.42,3895.58,89.9381
6.0,-21.91,3908.36,89.9371
6.1,-22.04,3898.34,89.9361
6.2,-24.04,3880.26,89.935
6.3,-22.04,3895.0,89.934
6.4,-24.04,3888.03,89.9329
6.5,-22.04,3892.23,89.9318
6.6,-24.04,3894.23,89.9307
6.7,-26.04,3870.28,89.9295
6.8,-24.04,3876.4,89.9284
6.9,-22.87,3876.84,89.9273
7.0,-24.87,3875.42,89.9262
7.1,-23.65,3878.38,89.9251
7.2,-21.91,3880.81,89.9241
7.3,-23.91,3876.25,89.923
7.4,-21.91,3888.88,89.922
7.5,-23.43,3875.85,89.9209
7.6,-25.43,3876.48,89.9197
7.7,-24.93,3876.18,89.9186
7.8,-26.55,3852.87,89.9173
7.9,-28.55,3846.23,89.916
8.0,-26.57,3853.74,89.9148
8.1,-24.57,3868.34,89.9136
8.2,-26.43,3847.51,89.9124
8.3,-26.79,3860.22,89.9112
8.4,-24.79,3852.72,89.91
8.5,-22.91,3876.44,89.909
8.6,-20.91,3874.46,89.908
8.7,-22.91,3862.1,89.9069
8.8,-23.65,3866.16,89.9058
8.9,-21.65,3872.65,89.9048
9.0,-19.65,3876.56,89.9039
9.1,-21.65,3871.32,89.9029
9.2,-19.65,3882.88,89.902
9.3,-21.65,3861.52,89.901
9.4,-23.65,3857.07,89.8999
9.5,-25.65,3846.89,89.8987
9.6,-23.65,3851.77,89.8976
9.7,-21.75,3864.6,89.8966
